기준연월,구분,주택,보증유형,건수,금액(백만원),비율(건수기준_퍼센트)
2022-06-01,공동주택,연립주택,전세보증금반환보증,156,29113,1
2022-06-01,공동주택,다세대주택,전세보증금반환보증,3173,627303,15
2022-06-01,단독주택,단독주택,전세보증금반환보증,111,16824,1
2022-06-01,단독주택,다가구주택,전세보증금반환보증,294,35615,1
2022-06-01,단독주택,다중주택,전세보증금반환보증,5,842,0
2022-06-01,공동주택,아파트,전세자금대출특약보증,20738,5560548,55
2022-06-01,공동주택,오피스텔,전세자금대출특약보증,5689,1031837,15
2022-06-01,공동주택,연립주택,전세자금대출특약보증,651,125019,2
2022-06-01,공동주택,다세대주택,전세자금대출특약보증,7961,1523997,21
2022-06-01,단독주택,단독주택,전세자금대출특약보증,877,150280,2
2022-06-01,단독주택,다가구주택,전세자금대출특약보증,1676,297781,4
2022-06-01,단독주택,다중주택,전세자금대출특약보증,4,590,0
2022-09-01,공동주택,아파트,전세보증금반환보증,14393,3737496,61
2022-09-01,공동주택,오피스텔,전세보증금반환보증,5194,940213,22
2022-09-01,공동주택,연립주택,전세보증금반환보증,191,36910,1
2022-09-01,공동주택,다세대주택,전세보증금반환보증,3430,701219,14
2022-09-01,단독주택,단독주택,전세보증금반환보증,129,20124,1
2022-09-01,단독주택,다가구주택,전세보증금반환보증,434,56303,2
2022-09-01,단독주택,다중주택,전세보증금반환보증,6,705,0
2022-09-01,공동주택,노인복지주택,전세보증금반환보증,1,270,0
2022-09-01,공동주택,아파트,전세자금대출특약보증,23163,6319597,58
2022-09-01,공동주택,오피스텔,전세자금대출특약보증,5792,1066164,15
2022-09-01,공동주택,연립주택,전세자금대출특약보증,667,136824,2
2022-09-01,공동주택,다세대주택,전세자금대출특약보증,7643,1483681,19
2022-09-01,단독주택,단독주택,전세자금대출특약보증,815,142046,2
2022-09-01,단독주택,다가구주택,전세자금대출특약보증,1672,295739,4
2022-09-01,단독주택,다중주택,전세자금대출특약보증,4,509,0
2022-12-01,공동주택,아파트,전세보증금반환보증,17893,5111063,69
2022-12-01,공동주택,오피스텔,전세보증금반환보증,4298,806230,17
2022-12-01,공동주택,연립주택,전세보증금반환보증,177,40136,1
2022-12-01,공동주택,다세대주택,전세보증금반환보증,3187,658958,12
2022-12-01,단독주택,단독주택,전세보증금반환보증,133,22858,1
2022-12-01,단독주택,다가구주택,전세보증금반환보증,344,47848,1
2022-12-01,단독주택,다중주택,전세보증금반환보증,9,1114,0
2022-12-01,공동주택,노인복지주택,전세보증금반환보증,4,1480,0
2022-12-01,공동주택,아파트,전세자금대출특약보증,23084,6052439,59
2022-12-01,공동주택,오피스텔,전세자금대출특약보증,5667,981727,14
2022-12-01,공동주택,연립주택,전세자금대출특약보증,619,121854,2
2022-12-01,공동주택,다세대주택,전세자금대출특약보증,7562,1445670,19
2022-12-01,단독주택,단독주택,전세자금대출특약보증,768,131985,2
2022-12-01,단독주택,다가구주택,전세자금대출특약보증,1694,289023,4
2022-12-01,단독주택,다중주택,전세자금대출특약보증,1,110,0
2023-03-01,공동주택,아파트,전세보증금반환보증,23295,6509267,70
2023-03-01,공동주택,오피스텔,전세보증금반환보증,5704,1036623,17
2023-03-01,공동주택,연립주택,전세보증금반환보증,197,45286,1
2023-03-01,공동주택,다세대주택,전세보증금반환보증,3201,656395,10
2023-03-01,단독주택,단독주택,전세보증금반환보증,144,26542,0
2023-03-01,단독주택,다가구주택,전세보증금반환보증,543,72977,2
2023-03-01,단독주택,다중주택,전세보증금반환보증,15,1867,0
2023-03-01,공동주택,노인복지주택,전세보증금반환보증,3,1100,0
2023-03-01,공동주택,아파트,전세자금대출특약보증,28185,7061612,60
2023-03-01,공동주택,오피스텔,전세자금대출특약보증,8026,1369312,17
2023-03-01,공동주택,연립주택,전세자금대출특약보증,602,115066,1
2023-03-01,공동주택,다세대주택,전세자금대출특약보증,7663,1412687,16
2023-03-01,단독주택,단독주택,전세자금대출특약보증,768,126696,2
2023-03-01,단독주택,다가구주택,전세자금대출특약보증,1762,282577,4
2023-03-01,단독주택,다중주택,전세자금대출특약보증,10,1323,0
